car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,age_squared,km_per_year,power_per_cc,mileage_per_hp,age_km_interaction,engine_power_interaction,engine_category,brand_group,brand_model
Maruti Alto,Maruti,Alto,9,120000,Individual,Petrol,Manual,19.7,796,46.3,5,120000,81,12000.0,0.05809284818067754,0.4164904862579281,1080000,36854.799999999996,Small,Mass Market,Maruti_Alto
Hyundai Grand,Hyundai,Grand,5,20000,Individual,Petrol,Manual,18.9,1197,82.0,5,550000,25,3333.3333333333335,0.06844741235392321,0.22771084337349395,100000,98154.0,Small,Mass Market,Hyundai_Grand
Hyundai i20,Hyundai,i20,11,60000,Individual,Petrol,Manual,17.0,1197,80.0,5,215000,121,5000.0,0.0667779632721202,0.20987654320987653,660000,95760.0,Small,Mass Market,Hyundai_i20
Maruti Alto,Maruti,Alto,9,37000,Individual,Petrol,Manual,20.92,998,67.1,5,226000,81,3700.0,0.06716716716716715,0.3071953010279002,333000,66965.79999999999,Small,Mass Market,Maruti_Alto
Ford Ecosport,Ford,Ecosport,6,30000,Dealer,Diesel,Manual,22.77,1498,98.59,5,570000,36,4285.714285714285,0.06577051367578386,0.22863741339491916,180000,147687.82,Small,Mass Market,Ford_Ecosport
Maruti Wagon R,Maruti,Wagon R,8,35000,Individual,Petrol,Manual,18.9,998,67.1,5,350000,64,3888.8888888888887,0.06716716716716715,0.2775330396475771,280000,66965.79999999999,Small,Mass Market,Maruti_Wagon R
Hyundai i10,Hyundai,i10,8,40000,Dealer,Petrol,Manual,20.36,1197,78.9,5,315000,64,4444.444444444444,0.06585976627712856,0.2548185231539424,320000,94443.3,Small,Mass Market,Hyundai_i10
Maruti Wagon R,Maruti,Wagon R,3,17512,Dealer,Petrol,Manual,20.51,998,67.04,5,410000,9,4378.0,0.06710710710710711,0.301440329218107,52536,66905.92000000001,Small,Mass Market,Maruti_Wagon R
Hyundai Venue,Hyundai,Venue,2,20000,Individual,Petrol,Automatic,18.15,998,118.35,5,1050000,4,6666.666666666667,0.11846846846846847,0.15207373271889402,40000,118113.29999999999,Small,Mass Market,Hyundai_Venue
Maruti Swift,Maruti,Swift,4,28321,Dealer,Petrol,Manual,16.6,1197,85.0,5,511000,16,5664.2,0.0709515859766277,0.1930232558139535,113284,101745.0,Small,Mass Market,Maruti_Swift
